,Brands,Colors,Battery,Price,Original_price,Rating,Total_reviews,Discount
127,TRIGGR,"Sky Black, True Wireless","('40H', 'H')",₹599,"₹2,999",4,"(40,905)",80% off
128,Mivi,"Arctic Blue, True Wireless",,"₹1,499","₹5,999",4.3,"(10,116)",75% off
129,boAt,"Coco Brown, True Wireless",,"₹1,199","₹5,490",4,"(1,37,232)",78% off
130,TRIGGR,"Gotham Black, True Wireless",,₹799,"₹3,999",4,"(9,538)",80% off
131,TRIGGR,"Black, True Wireless",,₹799,"₹3,999",4,"(57,708)",80% off
132,boAt,"Active Black, True Wireless",,"₹1,499","₹3,490",4,(10),57% off
133,Bose,"Black, True Wireless",,"₹15,990","₹25,900",4.2,(837),38% off
134,realme,"Monet Purple, True Wireless",,"₹2,199","₹3,999",4.3,"(1,15,908)",45% off
135,JBL,"Black, True Wireless","('40H', 'H')","₹6,998","₹16,999",4.3,"(1,085)",58% off
136,Noise,"Ivory Grain, True Wireless","('40H', 'H')","₹1,399","₹3,499",4.4,(684),60% off
137,Boult,"Dyno Silver, True Wireless","('60 H', 'H')","₹1,499","₹4,999",4.2,"(20,931)",70% off
138,OnePlus,"Splendid Blue, True Wireless",,"₹5,499","₹6,499",4.5,"(29,505)",15% off
139,Mivi,"Black, True Wireless","('45H', 'H')",₹889,"₹2,499",4,"(10,382)",64% off
140,HOPPUP,"Red, True Wireless",,₹799,"₹4,999",4,"(4,133)",84% off
141,truke,"Black, True Wireless","('48H', 'H')",₹799,"₹3,499",4,"(77,605)",77% off
142,Noise,"Navy Grain, True Wireless","('40H', 'H')","₹1,399","₹3,499",4.4,(684),60% off
143,Noise,"Pearl Pink, True Wireless","('40 H', 'H')",₹799,"₹3,499",4.1,"(90,287)",77% off
144,truke,"Green, True Wireless","('60H', 'H')",₹999,"₹3,499",4.1,"(2,972)",71% off
145,truke,"Champagne Gold, True Wireless","('60 Hours', 'Hours')",₹799,"₹2,999",4,"(26,557)",73% off
146,truke,"Blue, True Wireless","('60 Hours', 'Hours')",₹799,"₹2,999",4,"(26,557)",73% off
147,truke,"MintMist, True Wireless","('60H', 'H')",₹899,"₹2,999",4.1,"(17,106)",70% off
148,Noise,"Carbon Black, True Wireless","('50H', 'H')","₹1,499","₹3,999",4.1,"(2,349)",62% off
149,HOPPUP,"Blue, True Wireless",,₹799,"₹4,999",4.1,"(5,607)",84% off
150,TRIGGR,"Azure Blue, True Wireless",,₹799,"₹3,999",4,"(9,538)",80% off
151,TRIGGR,"Punk Yellow, True Wireless",,₹799,"₹3,999",4,"(9,538)",80% off
152,boAt,"Black Sabre, True Wireless","('40 H', 'H')","₹1,299","₹3,499",4,"(12,48,011)",62% off
153,boAt,"Thunder Blue, True Wireless","('40 Hours', 'Hours')","₹1,099","₹2,490",4,"(12,48,011)",55% off
154,truke,"Black, True Wireless","('30H', 'H')",₹999,"₹3,499",4,"(84,550)",71% off
155,realme,"Silver Blue, True Wireless",,"₹4,999","₹7,999",4.4,"(8,012)",37% off
156,HOPPUP,"Blue, True Wireless","('40H', 'H')",₹599,"₹3,999",4.1,"(49,095)",85% off
157,Aroma,"Dazzling Black, True Wireless","('60H', 'H')",₹623,"₹2,899",4,(211),78% off
158,boAt,"Northern Lights, True Wireless",,"₹2,299","₹13,990",4.2,"(85,470)",83% off
159,Google,"Charcoal, True Wireless",,"₹8,990","₹19,990",4.5,"(3,832)",55% off
160,TRIGGR,"Jungle Green, True Wireless","('40H', 'H')",₹599,"₹2,999",4,"(40,905)",80% off
161,Boult,"Electric Black, True Wireless","('48H', 'H')","₹1,199","₹2,999",4.1,"(1,29,032)",60% off
162,Mivi,"Wishful Champagne, True Wireless",,"₹2,199","₹6,499",4,"(1,473)",66% off
163,Nothing,"White, True Wireless",,"₹7,999","₹9,999",4.3,"(2,121)",20% off
164,HOPPUP,"Black, Grey, True Wireless",,₹899,"₹5,999",4,"(1,210)",85% off
165,Noise,"Pearl White, True Wireless","('50 H', 'H')","₹1,199","₹2,999",4,"(5,95,118)",60% off
166,PTron,"Blue, True Wireless","('50hrs', 'hrs')",₹699,"₹3,799",4.1,(194),81% off
167,TRIGGR,"Sky Black, True Wireless","('40H', 'H')",₹599,"₹2,999",4,"(40,905)",80% off
168,Boult,"Pure Black, True Wireless","('50H', 'H')",₹899,"₹2,499",4.1,"(10,681)",64% off
169,truke,"Metal Black, True Wireless","('68H', 'H')",₹799,"₹2,999",4,"(84,550)",73% off
170,TRIGGR,"Gotham Black, True Wireless",,₹799,"₹3,999",4,"(9,538)",80% off
171,TRIGGR,"Black, True Wireless",,₹799,"₹3,999",4,"(57,708)",80% off
172,CMF,"Orange, True Wireless",,"₹2,299","₹2,999",4.3,"(43,001)",23% off
173,boAt,"Zinc White, True Wireless",,"₹1,499","₹6,990",4,"(8,156)",78% off
174,truke,"Sunset Orange, True Wireless","('60H', 'H')",₹999,"₹3,499",4.1,"(2,972)",71% off
175,truke,"PhantomBlack, True Wireless",,₹999,"₹3,499",4.1,"(1,570)",71% off
176,Noise,"Ivory Grain, True Wireless","('40H', 'H')","₹1,399","₹3,499",4.4,(684),60% off
177,Boult,"Dyno Silver, True Wireless","('60 H', 'H')","₹1,499","₹4,999",4.2,"(20,931)",70% off
178,Boult,"Dawn, True Wireless","('100H', 'H')","₹1,499","₹5,499",4.1,"(1,14,885)",72% off
179,SAMSUNG,"Graphite, True Wireless",,"₹7,899","₹13,990",4.4,"(10,139)",43% off
180,HOPPUP,"Red, True Wireless",,₹799,"₹4,999",4,"(4,133)",84% off
181,truke,"Black, True Wireless","('48H', 'H')",₹799,"₹3,499",4,"(77,605)",77% off
182,boAt,"Ash Grey, True Wireless","('50H', 'H')","₹1,099","₹2,990",3.9,"(23,855)",63% off
183,Mivi,"Reflective Peach, True Wireless",,"₹2,199","₹6,499",4,"(1,473)",66% off
184,TRIGGR,"Indigo Honey, True Wireless","('40H', 'H')",₹599,"₹2,999",4,"(40,905)",80% off
185,boAt,"White, True Wireless","('50 HRS', 'HRS')","₹1,499","₹6,999",4,"(12,48,011)",78% off
186,truke,"Blue, True Wireless","('60 Hours', 'Hours')",₹799,"₹2,999",4,"(26,557)",73% off
187,truke,"MintMist, True Wireless","('60H', 'H')",₹899,"₹2,999",4.1,"(17,106)",70% off
188,Noise,"Space Blue, True Wireless","('45 H', 'H')",₹999,"₹2,499",4.1,"(32,250)",60% off
189,TRIGGR,"Army Green, True Wireless",,₹799,"₹3,999",4,"(57,708)",80% off
190,TRIGGR,"Azure Blue, True Wireless",,₹799,"₹3,999",4,"(9,538)",80% off
191,TRIGGR,"Punk Yellow, True Wireless",,₹799,"₹3,999",4,"(9,538)",80% off
192,truke,"MidnightSilver, True Wireless","('48H', 'H')",₹799,"₹2,499",4,"(11,902)",68% off
193,boAt,"Electric Blue, True Wireless","('40 HRS', 'HRS')","₹1,099","₹2,490",4,"(12,48,011)",55% off
194,TRIGGR,"Blaze White, True Wireless","('40H', 'H')",₹699,"₹2,999",4,"(40,905)",76% off
195,OnePlus,"Arbor Green, True Wireless",,"₹6,899","₹13,999",4.4,"(7,788)",50% off
196,HOPPUP,"Blue, True Wireless","('40H', 'H')",₹599,"₹3,999",4.1,"(49,095)",85% off
197,Aroma,"Dazzling Black, True Wireless","('60H', 'H')",₹623,"₹2,899",4,(211),78% off
198,TRIGGR,"Snow Carmine, True Wireless",,₹999,"₹3,999",4,"(9,538)",75% off
199,Noise,"Jet Black, True Wireless","('50 H', 'H')",₹999,"₹3,499",4,"(7,186)",71% off
200,TRIGGR,"Jungle Green, True Wireless","('40H', 'H')",₹599,"₹2,999",4,"(40,905)",80% off
201,Boult,"Electric Black, True Wireless","('48H', 'H')","₹1,199","₹2,999",4.1,"(1,29,032)",60% off
202,HOPPUP,"Blue, True Wireless","('50H', 'H')",₹699,"₹4,999",4.1,"(28,259)",86% off
203,moto,"Kiwi Green, True Wireless","('42 h', 'h')","₹1,999","₹7,999",4.1,"(7,038)",75% off
204,boAt,"White Sabre, True Wireless","('30 H', 'H')","₹1,299","₹3,299",4,"(23,270)",60% off
205,CMF,"Light Grey, True Wireless",,"₹2,999","₹4,499",4.1,"(18,599)",33% off
206,PTron,"Blue, True Wireless","('50hrs', 'hrs')",₹699,"₹3,799",4.1,(194),81% off
207,TRIGGR,"Sky Black, True Wireless","('40H', 'H')",₹599,"₹2,999",4,"(40,905)",80% off
208,Google,"Hazel, True Wireless",,"₹22,811","₹22,900",4.7,(98),
209,boAt,"Black Sabre, True Wireless",,"₹1,599","₹6,990",4.1,(927),77% off
210,TRIGGR,"Gotham Black, True Wireless",,₹799,"₹3,999",4,"(9,538)",80% off
211,TRIGGR,"Black, True Wireless",,₹799,"₹3,999",4,"(57,708)",80% off
212,Mivi,"Rose Black, True Wireless",,"₹1,499","₹5,999",4.1,"(1,140)",75% off
213,boAt,"Northern Lights, True Wireless","('120HRS', 'HRS')","₹2,199","₹8,999",4.1,"(1,05,690)",75% off
214,TRIGGR,"Cobalt Mariner, True Wireless","('40H', 'H')",₹799,"₹2,999",4,"(40,905)",73% off
215,PTron,"Light Blue, True Wireless","('40hrs', 'hrs')",₹599,"₹2,899",4,(432),79% off
216,Noise,"Ivory Grain, True Wireless","('40H', 'H')","₹1,399","₹3,499",4.4,(684),60% off
217,Boult,"Dyno Silver, True Wireless","('60 H', 'H')","₹1,499","₹4,999",4.2,"(20,931)",70% off
218,Noise,"Aura Black, True Wireless","('60 Hours', 'Hours')","₹1,299","₹4,499",4,"(5,361)",71% off
219,Noise,"Stone Beige, True Wireless","('50H', 'H')","₹1,499","₹3,999",4.1,"(2,349)",62% off
220,HOPPUP,"Red, True Wireless",,₹799,"₹4,999",4,"(4,133)",84% off
221,truke,"Black, True Wireless","('48H', 'H')",₹799,"₹3,499",4,"(77,605)",77% off
222,HOPPUP,"White, True Wireless","('50H', 'H')",₹699,"₹4,999",4.1,"(28,259)",86% off
223,boAt,"Gunmetal White, True Wireless",,"₹2,999","₹17,990",4,"(1,051)",83% off
224,moto,"Coral Peach, True Wireless","('42 h', 'h')","₹2,299","₹7,999",4.1,"(7,038)",71% off
225,Apple,"White, True Wireless",,"₹17,881","₹17,900",4.5,(356),
226,truke,"Blue, True Wireless","('60 Hours', 'Hours')",₹799,"₹2,999",4,"(26,557)",73% off
227,truke,"MintMist, True Wireless","('60H', 'H')",₹899,"₹2,999",4.1,"(17,106)",70% off
228,boAt,"Active Black, True Wireless",,"₹1,099","₹2,490",4,"(11,889)",55% off
229,REDMI,"Fusion Purple, True Wireless",,"₹2,999","₹4,999",4.1,"(7,270)",40% off
230,TRIGGR,"Azure Blue, True Wireless",,₹799,"₹3,999",4,"(9,538)",80% off
231,TRIGGR,"Punk Yellow, True Wireless",,₹799,"₹3,999",4,"(9,538)",80% off
232,vivo,"Bright White, True Wireless",,"₹1,899","₹2,499",4.1,"(5,548)",24% off
233,Number,"Blue Lava, True Wireless","('66H', 'H')","₹1,299","₹7,999",4.1,"(1,991)",83% off
234,SONY,"Blue, True Wireless",,"₹4,490","₹8,990",4.2,(400),50% off
235,OnePlus,"Obsidian Black, True Wireless",,"₹6,999","₹13,999",4.4,"(7,788)",50% off
236,HOPPUP,"Blue, True Wireless","('40H', 'H')",₹599,"₹3,999",4.1,"(49,095)",85% off
237,Aroma,"Dazzling Black, True Wireless","('60H', 'H')",₹623,"₹2,899",4,(211),78% off
238,boAt,"Sage Green, True Wireless","('50 HRS', 'HRS')","₹1,499","₹6,490",4.1,"(1,09,463)",76% off
239,Noise,"True Blue, True Wireless","('45 H', 'H')",₹999,"₹2,499",4.1,"(32,250)",60% off
240,TRIGGR,"Jungle Green, True Wireless","('40H', 'H')",₹599,"₹2,999",4,"(40,905)",80% off
241,Boult,"Electric Black, True Wireless","('48H', 'H')","₹1,199","₹2,999",4.1,"(1,29,032)",60% off
242,Nu,"White, True Wireless","('70h', 'h')","₹1,799","₹4,999",4.7,(317),64% off
243,Google,"Porcelain, True Wireless",,"₹22,837","₹22,900",4.7,(98),
244,Noise,"Calm Beige, True Wireless","('50 H', 'H')",₹999,"₹3,499",4,"(7,186)",71% off
245,Boult,"Lavender, True Wireless","('100H', 'H')","₹1,499","₹5,499",4.1,"(1,14,885)",72% off
246,TRIGGR,"Sky Black, True Wireless","('40H', 'H')",₹599,"₹2,999",4,"(40,905)",80% off
247,TRIGGR,"Black, True Wireless",,₹799,"₹3,999",4,"(57,708)",80% off
248,PTron,"Green, True Wireless","('40hrs', 'hrs')",₹699,"₹3,199",4,(210),78% off
249,Noise,"Soft Lilac, True Wireless","('50 H', 'H')","₹1,299","₹3,499",4,"(7,186)",62% off
250,TRIGGR,"Gotham Black, True Wireless",,₹799,"₹3,999",4,"(9,538)",80% off
251,Boult,"Dyno Silver, True Wireless","('60 H', 'H')","₹1,499","₹4,999",4.2,"(20,931)",70% off
252,TRIGGR,"Black Inferno, True Wireless",,"₹1,099","₹3,999",4.2,"(2,310)",72% off
253,REDMI,"Fusion Black, True Wireless",,"₹2,999","₹4,999",4.1,"(7,270)",40% off
254,OPPO,"Moonlight, True Wireless",,"₹1,799","₹3,999",4.3,"(4,16,231)",55% off
255,Huawei,"White, True Wireless",,"₹6,999","₹9,999",4.4,(34),30% off
256,HOPPUP,"Red, True Wireless",,₹799,"₹4,999",4,"(4,133)",84% off
257,truke,"Black, True Wireless","('48H', 'H')",₹799,"₹3,499",4,"(77,605)",77% off
258,SONY,"White, True Wireless",,"₹4,490","₹8,990",4.2,(400),50% off
259,TRIGGR,"Black, True Wireless","('40 H', 'H')",₹799,"₹3,999",4,"(12,429)",80% off
260,Noise,"Ivory Grain, True Wireless","('40H', 'H')","₹1,399","₹3,499",4.4,(684),60% off
261,Nu,"Sterling Silver, True Wireless","('56h', 'h')",₹849,"₹2,999",4.7,(317),71% off
262,PTron,"Black, True Wireless","('40hrs', 'hrs')",₹599,"₹2,899",4,(432),79% off
263,Noise,"Mint Green, True Wireless",,"₹1,299","₹3,999",4,"(1,012)",67% off
264,Mivi,"Blue, True Wireless","('50H', 'H')",₹899,"₹3,999",4,"(37,964)",77% off
265,boAt,"Interstellar Blue, True Wireless",,"₹1,599","₹6,490",4.1,"(9,322)",75% off
266,truke,"Blue, True Wireless","('60 Hours', 'Hours')",₹799,"₹2,999",4,"(26,557)",73% off
267,truke,"MintMist, True Wireless","('60H', 'H')",₹899,"₹2,999",4.1,"(17,106)",70% off
268,REDMI,"Timeless White, True Wireless","('30h', 'h')","₹1,499","₹2,999",4.1,"(7,270)",50% off
269,truke,"Black, True Wireless","('50H', 'H')",₹899,"₹2,499",4,"(16,269)",64% off
270,TRIGGR,"Azure Blue, True Wireless",,₹799,"₹3,999",4,"(9,538)",80% off
271,TRIGGR,"Punk Yellow, True Wireless",,₹799,"₹3,999",4,"(9,538)",80% off
272,Noise,"Ebony Grain, True Wireless","('40H', 'H')","₹1,399","₹3,499",4.4,(684),60% off
273,truke,"Blue, True Wireless",,₹999,"₹3,499",4,"(10,668)",71% off
274,Nothing,"Yellow, True Wireless",,"₹7,999","₹9,999",4.3,"(2,121)",20% off
275,SAMSUNG,"White, True Wireless",,"₹5,899","₹12,999",4.2,(122),54% off
276,HOPPUP,"Blue, True Wireless","('40H', 'H')",₹599,"₹3,999",4.1,"(49,095)",85% off
277,Aroma,"Dazzling Black, True Wireless","('60H', 'H')",₹623,"₹2,899",4,(211),78% off
278,boAt,"Cherry Blossom, True Wireless","('60 hours', 'hours')",₹999,"₹2,990",4,"(19,42,709)",66% off
279,Mivi,"Green, True Wireless","('50H', 'H')",₹899,"₹3,999",4,"(37,964)",77% off
280,TRIGGR,"Jungle Green, True Wireless","('40H', 'H')",₹599,"₹2,999",4,"(40,905)",80% off
281,Boult,"Electric Black, True Wireless","('48H', 'H')","₹1,199","₹2,999",4.1,"(1,29,032)",60% off
282,boAt,"Gunmetal Black, True Wireless",,"₹1,599","₹6,490",4,"(2,167)",75% off
283,Mivi,"Crystalline Blue, True Wireless",,"₹2,199","₹6,499",4,"(1,473)",66% off
284,Aroma,"Galaxy White, True Wireless","('60H', 'H')",₹623,"₹2,899",4,(211),78% off
285,JBL,"Blue, True Wireless","('40H', 'H')","₹7,999","₹16,999",4.3,"(1,085)",52% off
286,TRIGGR,"Sky Black, True Wireless","('40H', 'H')",₹599,"₹2,999",4,"(40,905)",80% off
287,TRIGGR,"Gotham Black, True Wireless",,₹799,"₹3,999",4,"(9,538)",80% off
288,Noise,"Black, True Wireless",,"₹1,299","₹3,999",4,"(1,012)",67% off
289,truke,"MintGreen, True Wireless","('48H', 'H')",₹799,"₹2,499",4,"(11,902)",68% off
290,TRIGGR,"Black, True Wireless",,₹799,"₹3,999",4,"(57,708)",80% off
291,Boult,"Dyno Silver, True Wireless","('60 H', 'H')","₹1,499","₹4,999",4.2,"(20,931)",70% off
292,Number,"Black Dune, True Wireless","('66H', 'H')","₹1,299","₹7,999",4.1,"(1,991)",83% off
293,Bose,"Smoke White, True Wireless",,"₹25,900",,4.5,(31),
294,Mivi,"Popsicle Peach, True Wireless",,"₹1,499","₹5,999",4.3,"(10,116)",75% off
295,boAt,"Red, True Wireless","('30 HRS', 'HRS')","₹1,149","₹3,490",4,"(49,355)",67% off
296,Noise,"Ivory Grain, True Wireless","('40H', 'H')","₹1,399","₹3,499",4.4,(684),60% off
297,HOPPUP,"Red, True Wireless",,₹799,"₹4,999",4,"(4,133)",84% off
298,Mivi,"Blue, True Wireless","('45H', 'H')",₹999,"₹2,999",4,"(10,382)",66% off
299,Mivi,"Topaz White, True Wireless",,₹999,"₹4,999",4,"(11,039)",80% off
300,truke,"Black, True Wireless","('48H', 'H')",₹799,"₹3,499",4,"(77,605)",77% off
