,Brands,Colors,Battery,Price,Original_price,Rating,Total_reviews,Discount
363,SONY,"Black, True Wireless","('20H', 'H')","₹7,490","₹12,990",4.1,(951),42% off
364,truke,"Blue, True Wireless","('72 Hours', 'Hours')","₹1,099","₹3,999",4,"(74,155)",72% off
365,boAt,"White Sabre, True Wireless",,"₹1,699","₹3,499",4,"(9,995)",51% off
366,TRIGGR,"Sky Black, True Wireless","('40H', 'H')",₹599,"₹2,999",4,"(40,905)",80% off
367,TRIGGR,"Gotham Black, True Wireless",,₹799,"₹3,999",4,"(9,538)",80% off
368,boAt,"White, True Wireless","('30 HRS', 'HRS')","₹1,399","₹3,490",4,"(49,355)",59% off
369,Jeevan,"Black, True Wireless",,₹439,"₹1,299",5,(3),66% off
370,Boult,"Dyno Silver, True Wireless","('60 H', 'H')","₹1,499","₹4,999",4.2,"(20,931)",70% off
371,Noise,"Ivory Grain, True Wireless","('40H', 'H')","₹1,399","₹3,499",4.4,(684),60% off
372,Mivi,"Iconic Black, True Wireless",,"₹2,199","₹6,499",4,(422),66% off
373,REDMI,"Bass White, True Wireless",,"₹1,999","₹4,999",4.1,"(7,270)",60% off
374,Pb,"Dark Green, True Wireless",,₹375,"₹1,999",4.4,(7),81% off
375,Chaebol,"White, True Wireless",,₹699,"₹5,490",4.4,(25),87% off
376,HOPPUP,"Red, True Wireless",,₹799,"₹4,999",4,"(4,133)",84% off
377,truke,"Black, True Wireless","('48H', 'H')",₹799,"₹3,499",4,"(77,605)",77% off
378,PTron,"Mint Julep, True Wireless","('45hrs', 'hrs')",₹899,"₹3,199",3.9,(32),71% off
379,Gedi,"Black, True Wireless","('20 H', 'H')",₹405,"₹1,499",4,(3),72% off
380,Nu,"Sterling Silver, True Wireless","('56h', 'h')",₹849,"₹2,999",4.7,(317),71% off
381,truke,"Blue, True Wireless","('60 Hours', 'Hours')",₹799,"₹2,999",4,"(26,557)",73% off
382,Fire,"White, True Wireless",,"₹1,299","₹5,999",4,"(22,809)",78% off
383,TOWST,"Black & Red, True Wireless",,₹510,"₹2,999",4.1,(7),82% off
384,SONY,"Beige, True Wireless","('20hours', 'hours')","₹16,990","₹24,990",4.1,(512),32% off
385,PTron,"Black, True Wireless","('45hrs', 'hrs')",₹899,"₹3,199",3.9,(32),71% off
386,truke,"MintMist, True Wireless","('60H', 'H')",₹899,"₹2,999",4.1,"(17,106)",70% off
387,TRIGGR,"Azure Blue, True Wireless",,₹799,"₹3,999",4,"(9,538)",80% off
388,Chaebol,"Black, True Wireless",,₹699,"₹1,997",4,(9),64% off
